date,open,high,low,close,volume,amount,turnover
2020-01-02,105.488,105.589,105.486,105.487,616,6675862.0,0.04
2020-01-03,105.437,105.616,105.406,105.495,148,1603002.0,0.01
2020-01-06,105.544,105.683,105.422,105.636,261,2828773.0,0.02
2020-01-07,105.685,105.685,105.504,105.57,111,1204576.0,0.01
2020-01-08,105.57,105.676,105.488,105.574,331,3588714.0,0.02
2020-01-09,105.574,105.761,105.524,105.595,5661,61486024.0,0.39
2020-01-10,105.645,106.012,105.593,106.01,23625,257078573.0,1.62
2020-01-13,106.0,106.024,105.938,105.967,275,2993092.0,0.02
2020-01-14,105.967,105.986,105.873,105.877,361,3926810.0,0.02
2020-01-15,105.877,106.006,105.877,105.913,172,1870950.0,0.01
2020-01-16,105.867,105.946,105.867,105.886,155,1688105.0,0.01
2020-01-17,105.886,105.98,105.886,105.971,371,4036728.0,0.03
2020-01-20,105.971,106.083,105.924,106.083,223,2428151.0,0.02
2020-01-21,106.083,106.536,106.077,106.336,1238,13527486.0,0.08
2020-01-22,106.386,106.876,106.176,106.466,364,3982608.0,0.02
2020-01-23,106.516,106.896,106.516,106.799,530,5807253.0,0.04
2020-02-03,107.139,108.637,107.136,108.071,496,5490720.0,0.03
2020-02-04,107.866,108.13,107.856,107.981,204,2260567.0,0.01
2020-02-05,107.976,108.015,107.825,108.009,138,1529130.0,0.01
2020-02-06,107.824,108.113,107.824,108.011,176,1951096.0,0.01
2020-02-07,108.006,108.251,108.006,108.166,258,2864358.0,0.02
2020-02-10,108.166,108.381,108.166,108.358,518,5758436.0,0.04
2020-02-11,108.386,110.715,108.309,108.44,1250,13951190.0,0.09
2020-02-12,108.39,108.521,108.384,108.437,478,5320100.0,0.03
2020-02-13,108.386,108.386,108.243,108.325,329,3657023.0,0.02
2020-02-14,108.276,108.319,108.238,108.313,201,2234708.0,0.01
2020-02-17,108.258,108.258,107.947,108.132,308,3420918.0,0.02
2020-02-18,108.136,108.138,107.736,107.916,476,5274240.0,0.03
2020-02-19,107.956,107.965,107.886,107.89,431,4774009.0,0.03
2020-02-20,107.886,107.923,107.678,107.736,297,3287360.0,0.02
2020-02-21,107.745,108.024,107.745,107.947,479,5305149.0,0.03
2020-02-24,107.957,108.286,107.957,108.178,376,4174446.0,0.03
2020-02-25,108.226,108.381,108.186,108.186,375,4167955.0,0.03
2020-02-26,108.236,108.374,108.197,108.277,325,3612375.0,0.02
2020-02-27,108.277,108.526,108.277,108.485,393,4373211.0,0.03
2020-02-28,108.526,109.635,108.486,108.836,1005,11232851.0,0.07
2020-03-02,108.886,109.035,108.836,108.846,575,6424403.0,0.04
2020-03-03,108.845,108.846,108.557,108.837,510,5692077.0,0.03
2020-03-04,108.852,109.059,108.852,109.037,822,9195355.0,0.06
