date,open,high,low,close,volume,amount,turnover
2020-01-02,116.925,117.123,116.649,116.701,3560,42550391.0,1.0
2020-01-03,116.705,116.762,116.575,116.59,3820,45576568.0,1.07
2020-01-06,116.594,116.782,116.554,116.715,9477,113045014.0,2.66
2020-01-07,116.704,116.715,116.63,116.66,7155,85395779.0,2.01
2020-01-08,116.674,116.81,116.671,116.793,5075,60626304.0,1.43
2020-01-09,116.754,116.905,116.688,116.898,12481,149197368.0,3.51
2020-01-10,116.848,117.031,116.784,117.02,5229,62577473.0,1.47
2020-01-13,117.023,117.069,116.974,117.023,4931,59033816.0,1.39
2020-01-14,116.974,117.177,116.924,117.113,5656,67698480.0,1.59
2020-01-15,117.029,117.239,117.023,117.164,4564,54694554.0,1.28
2020-01-16,117.209,117.209,116.941,116.972,4721,56530970.0,1.33
2020-01-17,116.952,117.159,116.952,117.084,5271,63109356.0,1.48
2020-01-20,117.036,117.162,117.036,117.138,4910,58821801.0,1.38
2020-01-21,117.162,117.704,117.149,117.704,5328,63948319.0,1.5
2020-01-22,117.354,117.926,117.325,117.425,5430,65353703.0,1.53
2020-01-23,117.425,118.253,117.425,118.123,3910,47165245.0,1.1
2020-02-03,118.139,124.142,118.139,119.921,8002,98121861.0,2.25
2020-02-04,120.03,120.039,118.324,118.66,5179,62879444.0,1.46
2020-02-05,118.707,119.02,118.504,118.849,4734,57540415.0,1.33
2020-02-06,118.849,118.849,118.402,118.499,4725,57301617.0,1.33
2020-02-07,118.502,118.814,118.502,118.69,3047,36966794.0,0.86
2020-02-10,118.714,118.894,118.714,118.893,2321,28198268.0,0.65
2020-02-11,118.843,119.024,118.826,118.966,3037,36937700.0,0.85
2020-02-12,118.989,118.989,118.724,118.846,5631,68492256.0,1.58
2020-02-13,118.797,118.808,118.652,118.671,5775,70081242.0,1.62
2020-02-14,118.671,118.709,118.659,118.667,4965,60252204.0,1.4
2020-02-17,118.667,118.667,118.479,118.49,5459,66198584.0,1.53
2020-02-18,118.424,118.49,118.332,118.467,4826,58458977.0,1.36
2020-02-19,118.438,118.524,118.438,118.493,5271,63863108.0,1.48
2020-02-20,118.454,118.514,118.218,118.348,6576,79622285.0,1.85
2020-02-21,118.404,118.484,118.365,118.467,5462,66146987.0,1.54
2020-02-24,118.474,118.7,118.474,118.694,4070,49354089.0,1.14
2020-02-25,118.717,119.193,118.552,118.625,5069,61539748.0,1.42
2020-02-26,118.675,118.675,118.526,118.639,3546,43002630.0,1.0
2020-02-27,118.636,118.805,118.524,118.762,4797,58200273.0,1.35
2020-02-28,118.824,119.713,118.809,119.288,6396,77920821.0,1.8
2020-03-02,119.298,119.312,119.025,119.073,4472,54449755.0,1.26
2020-03-03,118.725,119.097,118.725,119.095,5193,63164629.0,1.46
2020-03-04,119.142,119.324,119.142,119.274,4847,59100564.0,1.36
2020-03-05,119.273,119.424,119.244,119.3,7519,91702898.0,2.11
2020-03-06,119.262,119.539,119.262,119.464,6012,73403881.0,1.69
2020-03-09,119.563,120.657,119.563,120.297,8298,102078464.0,2.33
2020-03-10,120.305,120.574,119.726,119.928,5538,67941112.0,1.56
2020-03-11,119.928,119.978,119.626,119.927,2069,25344395.0,0.58
2020-03-12,119.929,120.324,119.927,120.025,5907,72495115.0,1.66
2020-03-13,120.323,120.323,119.418,119.536,3853,47158363.0,1.08
2020-03-16,119.589,120.224,119.345,119.391,4739,57879761.0,1.33
2020-03-17,119.38,119.388,119.063,119.115,2799,34116001.0,0.79
2020-03-18,119.025,119.119,118.893,119.115,7211,87747138.0,2.03
2020-03-19,118.975,119.256,118.742,118.803,9217,112201855.0,2.59
2020-03-20,118.805,119.048,118.805,119.025,7043,85704090.0,1.98
2020-03-23,119.184,119.63,119.184,119.621,10572,129130596.0,2.97
2020-03-24,119.614,119.722,119.375,119.636,10537,128885519.0,2.96
2020-03-25,119.633,119.681,119.524,119.655,9690,118528644.0,2.72
2020-03-26,119.628,120.014,119.628,119.921,9184,112523846.0,2.58
2020-03-27,119.973,120.269,119.934,120.124,6387,78397299.0,1.8
2020-03-30,120.124,120.292,120.124,120.282,6475,79557951.0,1.82
2020-03-31,119.992,120.534,119.992,120.517,9636,118515497.0,2.71
2020-04-01,120.639,121.464,120.639,120.749,8776,108300758.0,2.47
2020-04-02,120.748,120.915,120.589,120.595,9928,122515027.0,2.79
2020-04-03,120.601,120.734,120.509,120.537,8869,109363766.0,2.49
2020-04-07,120.633,121.322,120.633,121.186,9072,112230856.0,2.55
2020-04-08,121.236,121.909,121.236,121.709,9851,122449170.0,2.77
2020-04-09,121.944,122.121,121.457,121.849,8816,109794265.0,2.48
2020-04-10,121.899,121.914,121.41,121.608,9463,117636862.0,2.66
2020-04-13,121.608,121.799,121.51,121.782,11034,137273131.0,3.1
2020-04-14,121.8,121.848,121.781,121.822,9715,120939855.0,2.73
2020-04-15,121.934,122.417,121.924,122.411,8150,101601744.0,2.29
2020-04-16,122.409,122.635,122.204,122.287,10579,132315381.0,2.97
2020-04-17,122.284,122.467,122.135,122.208,9220,115170915.0,2.59
2020-04-20,122.208,122.324,122.124,122.199,7251,90576885.0,2.04
2020-04-21,122.199,122.315,122.084,122.263,6329,79027377.0,1.78
2020-04-22,122.335,122.72,122.335,122.717,5943,74465030.0,1.67
2020-04-23,122.689,123.184,122.689,123.112,6382,80224101.0,1.79
2020-04-24,123.091,123.514,122.957,123.188,11036,138910720.0,3.1
2020-04-27,123.183,123.352,123.145,123.22,8877,111790090.0,2.5
2020-04-28,123.22,123.363,123.129,123.353,5903,74300992.0,1.66
2020-04-29,124.134,124.134,123.374,123.722,9157,115716747.0,2.57
2020-04-30,123.624,123.763,123.564,123.759,7130,90073605.0,2.0
2020-05-06,123.751,123.809,123.494,123.5,7672,96847043.0,2.16
2020-05-07,123.492,123.492,122.627,122.771,9633,121109674.0,2.71
2020-05-08,122.772,122.772,122.574,122.609,7972,99938725.0,2.24
2020-05-11,122.534,122.633,122.184,122.337,10741,134386184.0,3.02
2020-05-12,122.324,122.671,122.273,122.512,9965,124769493.0,2.8
2020-05-13,122.647,122.647,122.365,122.444,6475,81054619.0,1.82
2020-05-14,122.444,122.703,122.232,122.648,9056,113354321.0,2.55
2020-05-15,122.704,122.894,122.65,122.86,9913,124386030.0,2.79
2020-05-18,122.859,122.859,122.412,122.426,9448,118271506.0,2.66
2020-05-19,122.224,122.384,122.174,122.234,10048,125543501.0,2.82
2020-05-20,122.174,122.214,121.724,121.832,8484,105696908.0,2.38
2020-05-21,121.832,122.058,121.765,121.858,8044,100233704.0,2.26
2020-05-22,121.859,122.433,121.859,122.404,8302,103657230.0,2.33
2020-05-25,121.934,122.433,121.934,122.082,7527,93929612.0,2.12
2020-05-26,122.124,122.132,121.225,121.403,10681,132673625.0,3.0
2020-05-27,121.359,121.62,120.994,121.111,10756,133215016.0,3.02
2020-05-28,121.124,121.494,121.124,121.352,7681,95252219.0,2.16
2020-05-29,121.352,121.488,121.215,121.216,5598,69416466.0,1.57
2020-06-01,121.261,121.293,120.974,121.045,6948,86007997.0,1.95
2020-06-02,121.024,121.024,120.374,120.462,8289,102264049.0,2.33
2020-06-03,120.324,120.324,120.039,120.15,9944,122105197.0,2.8
2020-06-04,120.17,120.26,119.973,120.025,7567,92913687.0,2.13
2020-06-05,120.024,120.119,119.885,119.892,7704,94476627.0,2.17
2020-06-08,119.823,120.293,119.775,120.213,7729,94846867.0,2.17
2020-06-09,120.201,120.584,120.201,120.283,10090,124195931.0,2.84
2020-06-10,120.276,120.446,119.964,119.975,8401,103256407.0,2.36
2020-06-11,120.02,120.233,119.994,120.15,6556,80504434.0,1.84
2020-06-12,120.274,120.56,120.26,120.335,16049,197543918.0,4.51
2020-06-15,120.324,120.524,120.234,120.473,8995,110713931.0,2.53
2020-06-16,120.194,120.194,119.752,119.796,11159,136818525.0,3.14
