date,open,high,low,close,volume,amount,turnover
2020-04-07,9.95,9.999,9.935,9.984,257221,256395494.0,0.59
2020-04-08,9.984,9.998,9.97,9.983,145864,145700331.0,0.33
2020-04-09,9.999,10.015,9.997,10.01,215762,215973042.0,0.49
2020-04-10,10.011,10.015,9.945,9.953,198434,197965875.0,0.45
2020-04-13,9.953,9.953,9.874,9.877,190885,189180490.0,0.44
2020-04-14,9.88,9.911,9.88,9.901,146208,144797914.0,0.33
2020-04-15,9.906,9.915,9.882,9.886,98814,97878978.0,0.23
2020-04-16,9.882,9.915,9.881,9.914,97663,96707178.0,0.22
2020-04-17,9.923,9.965,9.923,9.942,106277,105747559.0,0.24
2020-04-20,9.943,9.968,9.943,9.964,98697,98291255.0,0.23
2020-04-21,9.962,9.964,9.921,9.936,89042,88439701.0,0.2
2020-04-22,9.932,9.965,9.932,9.962,76128,75743740.0,0.17
2020-04-23,9.968,9.971,9.952,9.953,83926,83595364.0,0.19
2020-04-24,9.958,9.969,9.921,9.924,75146,74720910.0,0.17
2020-04-27,9.928,9.96,9.925,9.94,62888,62578001.0,0.14
2020-04-28,9.945,9.954,9.892,9.935,96137,95507491.0,0.22
2020-04-29,9.938,9.963,9.933,9.943,63737,63428398.0,0.15
2020-04-30,9.946,10.005,9.946,10.0,107793,107720320.0,0.25
2020-05-06,9.96,10.011,9.96,10.008,129685,129637872.0,0.3
2020-05-07,10.008,10.013,9.98,9.981,87152,87110010.0,0.2
2020-05-08,9.985,10.018,9.985,9.997,97499,97548087.0,0.22
2020-05-11,9.999,10.02,9.967,9.972,132079,131989173.0,0.3
2020-05-12,9.976,9.982,9.937,9.945,71003,70655505.0,0.16
2020-05-13,9.943,9.946,9.927,9.928,57203,56816837.0,0.13
2020-05-14,9.929,9.929,9.866,9.867,72013,71219615.0,0.16
2020-05-15,9.871,9.88,9.852,9.854,73087,72108553.0,0.17
2020-05-18,9.853,9.865,9.79,9.791,69507,68288560.0,0.16
2020-05-19,9.8,9.82,9.776,9.78,87354,85544451.0,0.2
2020-05-20,9.78,9.78,9.703,9.705,83455,81283015.0,0.19
2020-05-21,9.71,9.725,9.68,9.683,87526,84963379.0,0.2
2020-05-22,9.681,9.683,9.606,9.633,117151,112899016.0,0.27
2020-05-25,9.63,9.633,9.555,9.57,76495,73313140.0,0.17
